,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
2711,ÁGUAS DE SANTA BÁRBARA,64315000,1,3340.0,64,ÁGUAS DE SANTA BÁRB,SÃO PAULO,DAEE-SP,-22.8786,-49.2381,1955/03/10,2018/06/30,64,0.6,58,9.4,POINT (-5481160.219628284 -2617343.948351906)
2712,SANTA CRUZ DO RIO PARDO ,64320000,1,4190.0,64,SANTA CRUZ DO RIO P,SÃO PAULO,DAEE-SP,-22.9,-49.6167,1955/03/04,1980/03/10,26,0.0,24,7.7,POINT (-5523305.778842617 -2619929.8004916054)
2713,UHE SALTO GRANDE SANTA CRUZ DO RIO PARDO,64320010,1,4270.0,64,SANTA CRUZ DO RIO P,SÃO PAULO,PARANAPANEMA,-22.9072,-49.6253,2012/01/01,2012/12/31,1,0.0,1,0.0,POINT (-5524263.126463439 -2620799.8985245563)
2714,SANTA CRUZ DO RIO PARDO,64323000,1,4190.0,64,SANTA CRUZ DO RIO P,SÃO PAULO,ANA,-22.9,-49.6167,1930/09/01,1980/01/15,51,0.0,48,5.9,POINT (-5523305.778842617 -2619929.8004916054)
2715,SÃO PEDRO DO TURVO,64327000,1,891.0,64,SÃO PEDRO DO TURVO,SÃO PAULO,DAEE-SP,-22.7514,-49.735,1980/11/14,2018/05/31,39,0.6,35,10.3,POINT (-5536474.874603461 -2601982.2299734205)
2716,SÃO PEDRO DO TURVO ,64328000,1,3890.0,64,SÃO PEDRO DO TURVO,SÃO PAULO,DAEE-SP,-22.7667,-49.7333,1970/02/01,1980/03/04,11,0.0,9,18.2,POINT (-5536285.631469112 -2603829.2254847214)
2717,UHE SALTO GRANDE FAZENDA DA BARRA,64328050,1,3880.0,64,SÃO PEDRO DO TURVO,SÃO PAULO,PARANAPANEMA,-22.7739,-49.7408,2012/01/01,2012/12/31,1,0.0,1,0.0,POINT (-5537120.527650062 -2604698.4714591266)
2718,UHE SALTO GRANDE BARRAMENTO,64332080,1,38800.0,64,SALTO GRANDE,SÃO PAULO,PARANAPANEMA,-22.905,-50.0014,1931/01/01,2015/06/29,85,71.9,22,74.1,POINT (-5566130.386950788 -2620534.0303354906)
2719,SALTO GRANDE - CIA AVE,64333000,1,1000.0,64,SALTO GRANDE,SÃO PAULO,DAEE-SP,-22.84,-49.9925,1970/12/16,1980/03/04,11,0.0,9,18.2,POINT (-5565139.643482729 -2612680.777889171)
2720,PORTO JAÚ,64335100,1,38800.0,64,SALTO GRANDE,SÃO PAULO,ANA,-22.9,-50.0167,1952/05/04,1980/01/14,29,0.0,27,6.9,POINT (-5567833.575159927 -2619929.8004916054)
2722,PLATINA,64344000,1,427.0,64,PLATINA,SÃO PAULO,DAEE-SP,-22.6333,-50.2,1979/02/01,2018/05/31,40,19.6,22,45.0,POINT (-5588238.437822334 -2587732.302474681)
2723,SUCUI,64345000,1,900.0,64,PALMITAL,SÃO PAULO,DAEE-SP,-22.8,-50.3,1969/09/01,2018/06/30,50,4.4,43,14.0,POINT (-5599370.386901661 -2607849.8726871307)
2724,UHE CANOAS II BARRAMENTO,64345075,1,39600.0,64,PALMITAL,SÃO PAULO,CONS.CANOAS,-22.9378,-50.2492,1931/01/01,2015/06/29,85,71.9,22,74.1,POINT (-5593715.356769362 -2624498.330857144)
2725,UHE CANOAS I BARRAMENTO,64345080,1,41300.0,64,CÂNDIDO MOTA,SÃO PAULO,CONS.CANOAS,-22.9439,-50.5169,1931/01/01,2015/06/29,85,71.9,22,74.1,POINT (-5623515.584454722 -2625235.6999393795)
2726,AGICE,64346000,1,649.0,64,RANCHARIA,SÃO PAULO,DAEE-SP,-22.5333,-50.9167,1979/04/17,2018/05/31,40,4.8,25,37.5,POINT (-5668021.1168738725 -2575675.89235008)
2740,MARACAI (7D-008),64395000,1,1560.0,64,MARACAÍ,SÃO PAULO,DAEE-SP,-22.6167,-50.6833,1979/08/10,2018/03/31,40,0.9,32,20.0,POINT (-5642039.147722723 -2585730.3321878943)
2825,UHE ROSANA BARRAMENTO,64571080,1,101000.0,64,ROSANA,SÃO PAULO,PARANAPANEMA,-22.6042,-52.8753,1931/01/01,2015/06/29,85,71.9,22,74.1,POINT (-5886051.471541578 -2584222.983929958)
3414,MATO DENTRO,80010000,1,64.0,80,UBATUBA,SÃO PAULO,DAEE-SP,-23.4347,-45.0853,1972/01/05,1975/03/10,4,0.6,1,75.0,POINT (-5018872.638261977 -2684673.587139099)
3415,RIO GUAXINDUBA (Caraguatatuba),80100000,1,5.2,80,CARAGUATATUBA,SÃO PAULO,CETESB-SP,-23.6208,-45.3767,1928/04/01,1935/12/31,8,4.3,5,37.5,POINT (-5051311.137879137 -2707268.5473513966)
3416,FAZENDA RIO CLARO,80130000,1,72.0,80,CARAGUATATUBA,SÃO PAULO,DAEE-SP,-23.6994,-45.4847,1980/10/09,1990/01/21,11,13.8,6,45.5,POINT (-5063333.64288481 -2716821.2376196347)
3417,FAZENDA N.S. APARECIDA,80200000,1,39.0,80,BIRITIBA-MIRIM,SÃO PAULO,ANA,-23.6569,-46.0106,1962/07/05,2007/12/31,46,4.5,35,23.9,POINT (-5121876.563092993 -2711655.2659794884)
3418,QUILOMBO,80280000,1,57.0,80,SANTOS,SÃO PAULO,DAEE-SP,-23.8303,-46.32,1971/10/21,1987/11/18,17,5.1,12,29.4,POINT (-5156318.813544432 -2732743.0178561425)
3419,CUBATÃO DE CIMA,80310000,1,21.4,80,SÃO BERNARDO DO CAM,SÃO PAULO,EMAE,-23.9167,-46.5833,1926/10/01,1944/02/29,19,15.9,2,89.5,POINT (-5185629.2354703015 -2743260.921957625)
